what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391210162744
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1391210167306
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1391210171645
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1391210171679
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1391210173615
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1391210175607
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1391210175608
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.close",1391210175618
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1391210176686
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1391210192742
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391210195489
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1391210200554
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391210200645
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1391210201410
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1391210211594
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1391210212608
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1391210237206
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1391210237511
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1391210237754
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1391210238841
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1391210239025
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1391210239209
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1391210239385
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1391210239577
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1391210244678
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1391210254358
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1391210256660
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1391210268944
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1391210273723
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1391210284489
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1391210305653
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1391210307141
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1391210311643
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1391210312341
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1391210349309
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1391210382047
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391210384111
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391210384336
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391210386845
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391210386923
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391210389378
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1391210404914
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1391210405992
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1391210408419
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391210411383
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391210419698
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1391210431156
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1391210431451
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1391210431688
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1391210434959
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1391210438385
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1391210454164
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1391210455240
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1391210462798
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391210464908
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391210473510
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1391210482388
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391210484227
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391210495775
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1391210498664
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391210506247
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391210515084
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1391210515299
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1391210517707
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1391210517768
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1391210517770
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1391210520870
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1391210524094
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1391210524138
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1391210525638
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1391210527392
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1391210527432
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1391210529269
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1391210546717
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1391210546751
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1391210549135
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391210568136
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1391210715261
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391210715345
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1391210718430
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1391210718454
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391210802723
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1391211000586
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391211000683
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1391211000860
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1391211000927
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1391211004215
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1391211004250
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1391211010325
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1391211010616
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1391211010652
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1391211013168
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1391211013419
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1391211013460
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391211039717
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391317338119
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1391317342825
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1391317394304
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1391317402710
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391317430396
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391317970855
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1391317976944
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391317979193
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391317986023
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1391318021769
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391318025672
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391318038416
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391318039400
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391318040207
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391318040835
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391318040865
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391318042958
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391318043052
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391318046946
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1391318063795
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1391318102473
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1391318102569
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1391318109008
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391318110430
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391318110702
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391318112598
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391318113036
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391318117580
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391318123144
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391318140609
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391318160196
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391318195981
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391318205837
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391318207901
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1391318293184
