what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1396645262500
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1396645262522
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1396645262623
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1396645266731
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1396645269534
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1396645269551
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1396645270957
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1396645281457
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1396645286900
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1396645289231
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1396645289250
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1396645293118
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396645294359
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396645303402
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1396645304538
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1396645308516
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1396645308533
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396645311085
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396645316871
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1396645318336
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1396645320784
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1396645320801
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396645324750
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396645353733
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396645361083
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396645481459
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1396645486683
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1396645516718
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1396645548282
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1396645549180
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1396645551181
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1396645551201
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1396645551201
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396645552832
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396645555168
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1396645555297
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396645555739
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396645589174
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396645600896
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1396645774153
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396645774245
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1396645777100
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1396645777399
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1396645777440
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ResourceNavigator",1396645779818
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1396645783007
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396645787699
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396646659802
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396646662604
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396647706688
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396647715252
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396648321680
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396648324211
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396648326723
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396648330376
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1396648346927
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396648347263
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1396648348076
started,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1396648360886
started,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1396648360944
started,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1396648361000
started,bundle,org.eclipse.mylyn.wikitext.core,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.core",1396648361036
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1396648361053
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396648361150
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1396648362938
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1396648364500
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1396648367262
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1396648367265
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.close",1396648367367
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1396648368308
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1396648368314
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.close",1396648368710
