what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1398546845873
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1398546845873
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1398546845873
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1398546846017
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1398546846069
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1398546846236
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1398546846377
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1398546846392
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1398546846392
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1398546846534
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1398546846651
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1398546846652
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1398546846843
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1398546846893
os,sysinfo,,,"macosx",1398546846896
arch,sysinfo,,,"x86",1398546846896
ws,sysinfo,,,"cocoa",1398546846896
locale,sysinfo,,,"en_US",1398546846896
processors,sysinfo,,,"8",1398546846896
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1398546846896
java.runtime.version,sysinfo,,,"1.6.0_65-b14-462-11M4609",1398546846896
java.specification.name,sysinfo,,,"Java Platform API Specification",1398546846896
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1398546846896
java.specification.version,sysinfo,,,"1.6",1398546846896
java.vendor,sysinfo,,,"Apple Inc.",1398546846896
java.version,sysinfo,,,"1.6.0_65",1398546846896
java.vm.info,sysinfo,,,"mixed mode",1398546846896
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1398546846896
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1398546846896
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1398546846896
java.vm.specification.version,sysinfo,,,"1.0",1398546846896
java.vm.vendor,sysinfo,,,"Apple Inc.",1398546846896
java.vm.version,sysinfo,,,"20.65-b04-462",1398546846896
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1398546846920
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1398546847950
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1398546848191
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1398546848435
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1398546848564
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1398546848603
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1398546848906
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1398546848907
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1398546849473
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1398546849644
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1398546849649
started,bundle,edu.stanford.cs106,1.0.0,"edu.stanford.cs106",1398546849716
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1398546849878
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1398546850413
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1398546851931
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1398546852695
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398555549691
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1398555549829
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398555551107
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398555551119
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1398555551121
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1398555551232
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398555554387
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398555555271
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398555559606
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398555559988
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1398555564916
