what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1400213721468
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1400213763169
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400213790676
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400213803483
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.VariableView",1400213803780
opened,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1400213803939
activated,perspective,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1400213803973
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1400213811498
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1400213864212
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1400213865550
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400213866499
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400213866503
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400213866622
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400213869368
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400213870175
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400213872176
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400213889777
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1400213894008
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1400213897594
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400213902298
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400213902303
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400213902425
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400213930893
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400213931469
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1400213942475
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1400213944647
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1400213979925
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400213990061
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400214024049
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400214026941
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400214026948
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400214027077
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400214029230
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400214037127
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400214039317
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400214044773
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1400214052260
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1400214064421
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1400214069440
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1400214073349
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400214077246
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400214077252
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400214077422
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400214079670
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400214083515
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400214085822
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400214088849
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400214090378
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400214098963
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400214104936
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400214104942
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400214105056
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400214112665
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400214119018
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400214130660
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400214136588
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400214139075
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400214144338
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1400214146122
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1400214146561
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1400214147282
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400214153751
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400214153757
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400214153871
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400214156314
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400214170347
