what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1391737118524
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1391737119508
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391737123001
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391737134678
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391737150331
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391737154560
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391737155410
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391737156581
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1391737184184
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1391737193967
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391737198350
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391737199163
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391737199407
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391737199491
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391737202109
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391737202695
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391737234882
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1391737264566
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391737269543
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391737277952
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391737280503
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391737281042
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1391737305573
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1391737306260
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391737310439
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391737311983
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1391737441262
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1391737441289
