what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396329263654
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396329263664
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396329267524
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396329271633
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396329272971
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396329275303
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396329276380
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396330056692
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396330060035
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396330092029
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1396330093411
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1396330095227
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1396330097121
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1396330097864
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1396330099308
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1396330102027
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1396330102661
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1396330104967
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1396330104996
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1396330105034
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396330106386
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396330107029
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396330111333
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396330165208
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396330166585
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396330822856
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396330943920
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396330946350
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1396331035339
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1396331035343
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1396331035635
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396331037585
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396331104228
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1396331124814
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1396331127305
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396331134020
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396331134788
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1396331136762
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1396331136769
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1396331136888
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396331138430
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396331190784
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1396331222647
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1396331222652
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1396331222655
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396331223779
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396331224611
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396331227886
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396331235304
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1396331238254
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1396331249164
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1396331249168
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1396331249181
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396331251109
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396331279875
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1396331285483
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396331292242
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396331294831
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396331299398
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396331360246
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396331374586
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396331376355
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1396331376370
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1396331400803
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1396331402895
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1396331407139
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396331432712
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396331432816
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1396331432832
error,log,,,"Unhandled event loop exception",1396331432953
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1396331436168
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1396331439418
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1396331443842
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1396331446105
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1396331450476
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1396331451124
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1396331467625
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1396331468785
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1396331475500
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1396331477026
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1396331490606
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1396331490612
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1396331490750
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1396331492582
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1396331494412
