what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1391130563193
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1391130563550
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1391130564012
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1391130587609
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1391130591634
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391130770285
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391130782722
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391130836421
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391130844048
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1391130980522
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391130982639
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391130985015
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1391131006322
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391131010135
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391131043454
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1391131165862
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1391131168948
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1391131176309
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391131178653
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391131190900
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1391131202323
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391131206877
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391131232236
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1391131250845
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391131252387
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391131281910
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1391131434785
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1391131454735
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391131457202
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391131477704
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1391131501654
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391131504277
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391131505642
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391131508832
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1391131573916
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1391131620431
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1391131621977
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1391131628797
